Name,Team,Pos,No,ID
Anthony Beauvillier,WSH,R,72,8478463
Pierre-Luc Dubois,WSH,C,80,8479400
Brandon Duhaime,WSH,L,22,8479520
Ethen Frank,WSH,R,53,8483573
David Kampf,WSH,C,64,8480144
Hendrix Lapierre,WSH,C,29,8482148
Ryan Leonard,WSH,R,9,8484186
Connor McMichael,WSH,L,24,8481580
Alex Ovechkin,WSH,L,8,8471214
Aliaksei Protas,WSH,L,21,8481656
Justin Sourdif,WSH,C,34,8482088
Dylan Strome,WSH,C,17,8478440
Tom Wilson,WSH,R,43,8476880
Declan Chisholm,WSH,D,47,8480990
Jakob Chychrun,WSH,D,6,8479345
Martin Fehérváry,WSH,D,42,8480796
Cole Hutson,WSH,D,44,8484873
Timothy Liljegren,WSH,D,27,8480043
Dylan McIlrath,WSH,D,52,8475795
Matt Roy,WSH,D,3,8478911
Rasmus Sandin,WSH,D,38,8480873
Trevor van Riemsdyk,WSH,D,57,8477845
Charlie Lindgren,WSH,G,79,8479292
Logan Thompson,WSH,G,48,8480313
Michael Carcone,UTA,L,53,8479619
Logan Cooley,UTA,C,92,8483431
Lawson Crouse,UTA,L,67,8478474
Dylan Guenther,UTA,R,11,8482699
Barrett Hayton,UTA,C,27,8480849
Clayton Keller,UTA,R,9,8479343
Alexander Kerfoot,UTA,C,15,8477021
Jack McBain,UTA,C,22,8480855
Liam O'Brien,UTA,C,38,8477070
JJ Peterka,UTA,R,77,8482175
Nick Schmaltz,UTA,C,8,8477951
Kevin Stenlund,UTA,C,82,8478831
Brandon Tanev,UTA,L,13,8479293
Kailer Yamamoto,UTA,R,56,8479977
Ian Cole,UTA,D,28,8474013
Nick DeSimone,UTA,D,57,8480084
Sean Durzi,UTA,D,50,8480434
John Marino,UTA,D,6,8478507
Nate Schmidt,UTA,D,88,8477220
Mikhail Sergachev,UTA,D,98,8479410
MacKenzie Weegar,UTA,D,52,8477346
Vitek Vanecek,UTA,G,41,8477970
Karel Vejmelka,UTA,G,70,8478872
Colton Dach,EDM,C,34,8482703
Jason Dickinson,EDM,C,16,8477450
Leon Draisaitl,EDM,C,29,8477934
Trent Frederic,EDM,C,10,8479365
Adam Henrique,EDM,C,19,8474641
Zach Hyman,EDM,L,18,8475786
Mattias Janmark,EDM,C,13,8477406
Roby Jarventie,EDM,L,15,8482162
Max Jones,EDM,L,46,8479368
Kasperi Kapanen,EDM,R,42,8477953
Curtis Lazar,EDM,C,20,8477508
Connor McDavid,EDM,C,97,8478402
Ryan Nugent-Hopkins,EDM,C,93,8476454
Vasily Podkolzin,EDM,R,92,8481617
Jack Roslovic,EDM,C,28,8478458
Josh Samanski,EDM,C,81,8484509
Matt Savoie,EDM,C,22,8483512
Evan Bouchard,EDM,D,2,8480803
Mattias Ekholm,EDM,D,14,8475218
Ty Emberson,EDM,D,49,8480834
Connor Murphy,EDM,D,5,8476473
Darnell Nurse,EDM,D,25,8477498
Spencer Stastney,EDM,D,24,8481056
Jake Walman,EDM,D,96,8478013
Connor Ingram,EDM,G,39,8478971
Tristan Jarry,EDM,G,35,8477465
Ivan Barbashev,VGK,L,49,8477964
Braeden Bowman,VGK,R,42,8483890
Pavel Dorofeyev,VGK,R,16,8481604
Nic Dowd,VGK,C,26,8475343
Jack Eichel,VGK,C,9,8478403
Tomas Hertl,VGK,C,48,8476881
Alexander Holtz,VGK,R,11,8482125
Brett Howden,VGK,C,21,8479353
William Karlsson,VGK,C,71,8476448
Keegan Kolesar,VGK,R,55,8478434
Mitch Marner,VGK,R,93,8478483
Jonas Rondbjerg,VGK,R,46,8480007
Brandon Saad,VGK,L,20,8476438
Colton Sissons,VGK,C,10,8476925
Cole Smith,VGK,R,22,8482062
Reilly Smith,VGK,R,19,8475191
Mark Stone,VGK,R,61,8475913
Rasmus Andersson,VGK,D,4,8478397
Noah Hanifin,VGK,D,15,8478396
Ben Hutton,VGK,D,17,8477018
Kaedan Korczak,VGK,D,6,8481527
Jeremy Lauzon,VGK,D,5,8478468
Brayden McNabb,VGK,D,3,8475188
Shea Theodore,VGK,D,27,8477447
Carter Hart,VGK,G,79,8479394
Adin Hill,VGK,G,33,8478499
Akira Schmid,VGK,G,40,8481033
Luke Evangelista,NSH,R,77,8482146
Filip Forsberg,NSH,L,9,8476887
Erik Haula,NSH,L,56,8475287
Tyson Jost,NSH,C,17,8479370
Joakim Kemell,NSH,R,25,8483465
Zachary L'Heureux,NSH,L,68,8482742
Jonathan Marchessault,NSH,C,81,8476539
Ryan O'Reilly,NSH,C,90,8475158
Reid Schaefer,NSH,L,49,8483513
Steven Stamkos,NSH,C,91,8474564
Fedor Svechkov,NSH,C,40,8482768
Ozzy Wiesblatt,NSH,C,89,8482103
Matthew Wood,NSH,R,71,8484241
Justin Barron,NSH,D,20,8482111
Nicolas Hague,NSH,D,41,8479980
Roman Josi,NSH,D,59,8474600
Nick Perbix,NSH,D,48,8480246
Brady Skjei,NSH,D,76,8476869
Ryan Ufko,NSH,D,85,8482715
Adam Wilsby,NSH,D,83,8482482
Justus Annunen,NSH,G,29,8481020
Matt Murray,NSH,G,32,8483575
Juuse Saros,NSH,G,74,8477424
Nick Bjugstad,NJD,C,72,8475760
Jesper Bratt,NJD,L,63,8479407
Connor Brown,NJD,R,16,8477015
Paul Cotter,NJD,L,47,8481032
Evgenii Dadonov,NJD,L,33,8474149
Cody Glass,NJD,C,12,8479996
Arseny Gritsyuk,NJD,R,81,8481721
Lenni Hameenaho,NJD,R,29,8484177
Nico Hischier,NJD,C,13,8480002
Jack Hughes,NJD,C,86,8481559
Zack MacEwen,NJD,R,15,8479772
Timo Meier,NJD,R,28,8478414
Dawson Mercer,NJD,C,91,8482110
Stefan Noesen,NJD,R,11,8476474
Maxim Tsyplakov,NJD,R,42,8484958
Dennis Cholowski,NJD,D,44,8479395
Brenden Dillon,NJD,D,5,8475455
Dougie Hamilton,NJD,D,7,8476462
Luke Hughes,NJD,D,43,8482684
Johnathan Kovacevic,NJD,D,8,8480192
Simon Nemec,NJD,D,17,8483495
Brett Pesce,NJD,D,22,8477488
Jonas Siegenthaler,NJD,D,71,8478399
Jake Allen,NJD,G,34,8474596
Jacob Markstrom,NJD,G,25,8474593
Joel Armia,LAK,R,40,8476469
Quinton Byfield,LAK,R,55,8482124
Kevin Fiala,LAK,L,22,8477942
Samuel Helenius,LAK,C,79,8482726
Mathieu Joseph,LAK,R,17,8478472
Adrian Kempe,LAK,R,9,8477960
Anze Kopitar,LAK,C,11,8471685
Andrei Kuzmenko,LAK,L,96,8483808
Alex Laferriere,LAK,R,14,8482155
Scott Laughton,LAK,C,21,8476872
Andre Lee,LAK,L,47,8481732
Jeff Malott,LAK,L,39,8482408
Trevor Moore,LAK,L,12,8479675
Artemi Panarin,LAK,L,10,8478550
Alex Turcotte,LAK,C,15,8481532
Taylor Ward,LAK,R,52,8483406
Jared Wright,LAK,R,53,8483756
Mikey Anderson,LAK,D,44,8479998
Cody Ceci,LAK,D,5,8476879
Brandt Clarke,LAK,D,92,8482730
Drew Doughty,LAK,D,8,8474563
Brian Dumoulin,LAK,D,2,8475208
Joel Edmundson,LAK,D,6,8476441
Jacob Moverare,LAK,D,43,8479421
Anton Forsberg,LAK,G,31,8476341
