Name,Team,Pos,No
Justin Sourdif,WSH,C,34
Dylan Strome,WSH,C,17
Tom Wilson,WSH,R,43
Declan Chisholm,WSH,D,47
Jakob Chychrun,WSH,D,6
Martin Fehérváry,WSH,D,42
Cole Hutson,WSH,D,44
Timothy Liljegren,WSH,D,27
Dylan McIlrath,WSH,D,52
Matt Roy,WSH,D,3
Rasmus Sandin,WSH,D,38
Trevor van Riemsdyk,WSH,D,57
Charlie Lindgren,WSH,G,79
Logan Thompson,WSH,G,48
Michael Carcone,UTA,L,53
Logan Cooley,UTA,C,92
Lawson Crouse,UTA,L,67
Dylan Guenther,UTA,R,11
Barrett Hayton,UTA,C,27
Clayton Keller,UTA,R,9
Alexander Kerfoot,UTA,C,15
Jack McBain,UTA,C,22
Liam O'Brien,UTA,C,38
JJ Peterka,UTA,R,77
Nick Schmaltz,UTA,C,8
Kevin Stenlund,UTA,C,82
Brandon Tanev,UTA,L,13
Kailer Yamamoto,UTA,R,56
Ian Cole,UTA,D,28
Nick DeSimone,UTA,D,57
Sean Durzi,UTA,D,50
John Marino,UTA,D,6
Nate Schmidt,UTA,D,88
Mikhail Sergachev,UTA,D,98
MacKenzie Weegar,UTA,D,52
Vitek Vanecek,UTA,G,41
Karel Vejmelka,UTA,G,70
Colton Dach,EDM,C,34
Jason Dickinson,EDM,C,16
Leon Draisaitl,EDM,C,29
Trent Frederic,EDM,C,10
Adam Henrique,EDM,C,19
Zach Hyman,EDM,L,18
Mattias Janmark,EDM,C,13
Roby Jarventie,EDM,L,15
Max Jones,EDM,L,46
Kasperi Kapanen,EDM,R,42
Curtis Lazar,EDM,C,20
Connor McDavid,EDM,C,97
Ryan Nugent-Hopkins,EDM,C,93
Vasily Podkolzin,EDM,R,92
Jack Roslovic,EDM,C,28
Josh Samanski,EDM,C,81
Matt Savoie,EDM,C,22
Evan Bouchard,EDM,D,2
Mattias Ekholm,EDM,D,14
Ty Emberson,EDM,D,49
Connor Murphy,EDM,D,5
Darnell Nurse,EDM,D,25
Spencer Stastney,EDM,D,24
Jake Walman,EDM,D,96
Connor Ingram,EDM,G,39
Tristan Jarry,EDM,G,35
Ivan Barbashev,VGK,L,49
Braeden Bowman,VGK,R,42
Pavel Dorofeyev,VGK,R,16
Nic Dowd,VGK,C,26
Jack Eichel,VGK,C,9
Tomas Hertl,VGK,C,48
Alexander Holtz,VGK,R,11
Brett Howden,VGK,C,21
William Karlsson,VGK,C,71
Keegan Kolesar,VGK,R,55
Mitch Marner,VGK,R,93
Jonas Rondbjerg,VGK,R,46
Brandon Saad,VGK,L,20
Colton Sissons,VGK,C,10
Cole Smith,VGK,R,22
Reilly Smith,VGK,R,19
Mark Stone,VGK,R,61
Rasmus Andersson,VGK,D,4
Noah Hanifin,VGK,D,15
Ben Hutton,VGK,D,17
Kaedan Korczak,VGK,D,6
Jeremy Lauzon,VGK,D,5
Brayden McNabb,VGK,D,3
Shea Theodore,VGK,D,27
Carter Hart,VGK,G,79
Adin Hill,VGK,G,33
Akira Schmid,VGK,G,40
Luke Evangelista,NSH,R,77
Filip Forsberg,NSH,L,9
Erik Haula,NSH,L,56
Tyson Jost,NSH,C,17
Joakim Kemell,NSH,R,25
Zachary L'Heureux,NSH,L,68
Jonathan Marchessault,NSH,C,81
Ryan O'Reilly,NSH,C,90
Reid Schaefer,NSH,L,49
Steven Stamkos,NSH,C,91
Fedor Svechkov,NSH,C,40
Ozzy Wiesblatt,NSH,C,89
Matthew Wood,NSH,R,71
Justin Barron,NSH,D,20
Nicolas Hague,NSH,D,41
Roman Josi,NSH,D,59
Nick Perbix,NSH,D,48
Brady Skjei,NSH,D,76
Ryan Ufko,NSH,D,85
Adam Wilsby,NSH,D,83
Justus Annunen,NSH,G,29
Matt Murray,NSH,G,32
Juuse Saros,NSH,G,74
Nick Bjugstad,NJD,C,72
Jesper Bratt,NJD,L,63
Connor Brown,NJD,R,16
Paul Cotter,NJD,L,47
Evgenii Dadonov,NJD,L,33
Cody Glass,NJD,C,12
Arseny Gritsyuk,NJD,R,81
Lenni Hameenaho,NJD,R,29
Nico Hischier,NJD,C,13
Jack Hughes,NJD,C,86
Zack MacEwen,NJD,R,15
Timo Meier,NJD,R,28
Dawson Mercer,NJD,C,91
Stefan Noesen,NJD,R,11
Maxim Tsyplakov,NJD,R,42
Dennis Cholowski,NJD,D,44
Brenden Dillon,NJD,D,5
Dougie Hamilton,NJD,D,7
Luke Hughes,NJD,D,43
Johnathan Kovacevic,NJD,D,8
Simon Nemec,NJD,D,17
Brett Pesce,NJD,D,22
Jonas Siegenthaler,NJD,D,71
Jake Allen,NJD,G,34
Jacob Markstrom,NJD,G,25
Joel Armia,LAK,R,40
Quinton Byfield,LAK,R,55
Kevin Fiala,LAK,L,22
Samuel Helenius,LAK,C,79
Mathieu Joseph,LAK,R,17
Adrian Kempe,LAK,R,9
Anze Kopitar,LAK,C,11
Andrei Kuzmenko,LAK,L,96
Alex Laferriere,LAK,R,14
Scott Laughton,LAK,C,21
Andre Lee,LAK,L,47
Jeff Malott,LAK,L,39
Trevor Moore,LAK,L,12
Artemi Panarin,LAK,L,10
Alex Turcotte,LAK,C,15
Taylor Ward,LAK,R,52
Jared Wright,LAK,R,53
Mikey Anderson,LAK,D,44
Cody Ceci,LAK,D,5
Brandt Clarke,LAK,D,92
Drew Doughty,LAK,D,8
Brian Dumoulin,LAK,D,2
Joel Edmundson,LAK,D,6
Jacob Moverare,LAK,D,43
Anton Forsberg,LAK,G,31
Darcy Kuemper,LAK,G,35
Aleksander Barkov,FLA,C,16
Sam Bennett,FLA,C,9
Jesper Boqvist,FLA,C,70
Nolan Foote,FLA,L,25
Jonah Gadjovich,FLA,L,12
A.J. Greer,FLA,L,10
Vinnie Hinostroza,FLA,C,24
Luke Kunin,FLA,C,71
Anton Lundell,FLA,C,15
Eetu Luostarinen,FLA,C,27
Brad Marchand,FLA,L,63
Tomas Nosek,FLA,L,92
Cole Reinhardt,FLA,L,29
Sam Reinhart,FLA,C,13
Evan Rodrigues,FLA,C,17
Mackie Samoskevich,FLA,R,11
Cole Schwindt,FLA,C,79
Matthew Tkachuk,FLA,L,19
Carter Verhaeghe,FLA,C,23
Uvis Balinskis,FLA,D,26
Mike Benning,FLA,D,20
Tobias Bjornfot,FLA,D,22
Aaron Ekblad,FLA,D,5
Gustav Forsling,FLA,D,42
Seth Jones,FLA,D,3
Dmitry Kulikov,FLA,D,7
Niko Mikkola,FLA,D,77
Donovan Sebrango,FLA,D,6
Sergei Bobrovsky,FLA,G,72
Daniil Tarasov,FLA,G,40
Matty Beniers,SEA,C,10
Berkly Catton,SEA,C,27
Jordan Eberle,SEA,R,7
Frederick Gaudreau,SEA,C,89
Kaapo Kakko,SEA,R,84
Jared McCann,SEA,L,19
Bobby McMann,SEA,C,74
Jacob Melanson,SEA,R,63
Ben Meyers,SEA,C,59
Jani Nyman,SEA,R,38
Jaden Schwartz,SEA,L,17
Chandler Stephenson,SEA,C,9
Eeli Tolvanen,SEA,R,20
Ryan Winterton,SEA,C,26
Shane Wright,SEA,C,51
Vince Dunn,SEA,D,29
Ryker Evans,SEA,D,41
Cale Fleury,SEA,D,8
Adam Larsson,SEA,D,6
Ryan Lindgren,SEA,D,55
Joshua Mahura,SEA,D,28
Brandon Montour,SEA,D,62
Jamie Oleksiak,SEA,D,24
Joey Daccord,SEA,G,35
Philipp Grubauer,SEA,G,31
Matt Murray,SEA,G,30
Easton Cowan,TOR,R,53
Max Domi,TOR,C,11
Bo Groulx,TOR,C,29
Calle Jarnkrok,TOR,C,19
Dakota Joshua,TOR,C,81
Matthew Knies,TOR,L,23
Steven Lorentz,TOR,C,18
Matias Maccelli,TOR,L,63
Auston Matthews,TOR,C,34
William Nylander,TOR,R,88
Michael Pezzetta,TOR,L,61
Jacob Quillan,TOR,C,26
Nicholas Robertson,TOR,L,89
John Tavares,TOR,C,91
Simon Benoit,TOR,D,2
Brandon Carlo,TOR,D,25
Oliver Ekman-Larsson,TOR,D,95
Jake McCabe,TOR,D,22
Philippe Myers,TOR,D,51
Morgan Rielly,TOR,D,44
Troy Stecher,TOR,D,28
Chris Tanev,TOR,D,8
Anthony Stolarz,TOR,G,41
Joseph Woll,TOR,G,60
Macklin Celebrini,SJS,C,71
Igor Chernyshov,SJS,L,92
Ty Dellandrea,SJS,C,10
William Eklund,SJS,L,72
Adam Gaudette,SJS,R,81
Barclay Goodrow,SJS,C,23
Collin Graf,SJS,R,51
Philipp Kurashev,SJS,C,96
Michael Misa,SJS,C,77
Zack Ostapchuk,SJS,C,63
Ryan Reaves,SJS,R,75
Pavol Regenda,SJS,L,84
Kiefer Sherwood,SJS,L,44
Will Smith,SJS,C,2
Tyler Toffoli,SJS,C,73
Alexander Wennberg,SJS,C,21
Vincent Desharnais,SJS,D,5
Sam Dickinson,SJS,D,6
Mario Ferraro,SJS,D,38
John Klingberg,SJS,D,3
Nick Leddy,SJS,D,4
Shakir Mukhamadullin,SJS,D,85
Dmitry Orlov,SJS,D,9
Yaroslav Askarov,SJS,G,30
Laurent Brossoit,SJS,G,93
Alex Nedeljkovic,SJS,G,33
Morgan Barron,WPG,C,36
Kyle Connor,WPG,L,81
Alex Iafallo,WPG,L,9
Cole Koepke,WPG,L,45
Brad Lambert,WPG,C,93
Adam Lowry,WPG,C,17
Vladislav Namestnikov,WPG,C,7
Nino Niederreiter,WPG,R,62
Gustav Nyquist,WPG,R,14
Cole Perfetti,WPG,C,91
Isak Rosen,WPG,R,27
Mark Scheifele,WPG,C,55
Jonathan Toews,WPG,C,19
Gabriel Vilardi,WPG,C,13
Jacob Bryson,WPG,D,78
Dylan DeMelo,WPG,D,2
Haydn Fleury,WPG,D,24
Ville Heinola,WPG,D,34
Colin Miller,WPG,D,6
Josh Morrissey,WPG,D,44
Neal Pionk,WPG,D,4
